zip,94025
sector,Communication Services
fullTimeEmployees,63404
longBusinessSummary,"Facebook, Inc. develops products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and in-home devices worldwide. The company's products include Facebook that enables people to connect, share, discover, and communicate with each other on mobile devices and personal computers; Instagram, a community for sharing photos, videos, and private messages; Messenger, a messaging application for people to connect with friends, family, groups, and businesses across platforms and devices; and WhatsApp, a messaging application that is used by people and businesses to communicate in a private way. It also provides Facebook Reality Labs, an augmented and virtual reality product that help people feel connected, anytime, and anywhere. Facebook, Inc. was founded in 2004 and is headquartered in Menlo Park, California."
city,Menlo Park
phone,650-543-4800
state,CA
country,United States
companyOfficers,[]
website,http://investor.fb.com
maxAge,1
address1,1601 Willow Road
industry,Internet Content & Information
ebitdaMargins,0.49698
profitMargins,0.37175998
grossMargins,0.80977
operatingCashflow,49358000128
revenueGrowth,0.556
operatingMargins,0.42523
ebitda,52079001600
targetLowPrice,225
recommendationKey,buy
grossProfits,69273000000
freeCashflow,22740000768
targetMedianPrice,425
currentPrice,343.01
earningsGrowth,1.006
currentRatio,5.425
returnOnAssets,0.17950001
numberOfAnalystOpinions,50
targetMeanPrice,417.62
debtToEquity,9.089
returnOnEquity,0.31332
targetHighPrice,500
totalCash,64079998976
totalDebt,12563000320
totalRevenue,104789999616
totalCashPerShare,22.728
financialCurrency,USD
revenuePerShare,36.82
quickRatio,5.095
recommendationMean,1.9
exchange,NMS
shortName,"Facebook, Inc."
longName,"Facebook, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,EQUITY
symbol,FB
messageBoardId,finmb_20765463
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,8.64
beta3Year,
enterpriseToEbitda,17.385
52WeekChange,0.28241074
morningStarRiskRating,
forwardEps,16.09
revenueQuarterlyGrowth,
sharesOutstanding,2383810048
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,48.913
sharesShort,27288001
sharesPercentSharesOut,0.0097
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.80597
netIncomeToCommon,38956998656
trailingEps,13.466
lastDividendValue,
SandP52WeekChange,0.26372707
priceToBook,7.0126557
heldPercentInsiders,0.00602
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1625011200
shortRatio,2.45
sharesShortPreviousMonthDate,1628812800
floatShares,2372224214
beta,1.295305
enterpriseValue,905374269440
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,1.007
priceToSalesTrailing12Months,9.228898
dateShortInterest,1631664000
pegRatio,0.93
ytdReturn,
forwardPE,21.31821
lastCapGain,
shortPercentOfFloat,0.0115
sharesShortPriorMonth,29160969
impliedSharesOutstanding,2819440128
category,
fiveYearAverageReturn,
previousClose,339.39
regularMarketOpen,341.61
twoHundredDayAverage,335.93497
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,345.01
navPrice,
averageDailyVolume10Day,21745214
regularMarketPreviousClose,339.39
fiftyDayAverage,364.5806
trailingAnnualDividendRate,
open,341.61
toCurrency,
averageVolume10days,21745214
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,338.64
currency,USD
trailingPE,25.472301
regularMarketVolume,14789507
lastMarket,
maxSupply,
openInterest,
marketCap,967096205312
volumeAllCurrencies,
strikePrice,
averageVolume,14007884
dayLow,338.64
ask,342.67
askSize,1000
volume,14789507
fiftyTwoWeekHigh,384.33
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,244.61
bid,342.25
tradeable,False
dividendYield,
bidSize,1300
dayHigh,345.01
regularMarketPrice,343.01
logo_url,https://logo.clearbit.com/investor.fb.com
